round,score,time survived
0,0,4
1,0,21
2,0,4
3,0,1
4,0,22
5,0,4
6,2,29
7,0,4
8,0,1
9,1,28
10,0,1
11,0,13
12,0,1
13,0,3
14,1,54
15,0,9
16,0,7
17,0,1
18,0,18
19,1,16
20,0,4
21,2,13
22,0,2
23,0,7
24,0,5
25,0,4
26,1,32
27,0,1
28,0,4
29,0,5
30,0,25
31,1,23
32,0,9
33,0,11
34,0,29
35,0,2
36,0,1
37,0,5
38,0,19
39,0,24
40,0,2
41,0,25
42,0,1
43,0,6
44,0,22
45,0,4
46,0,36
47,0,13
48,0,12
49,0,11
50,1,43
51,2,16
52,0,7
53,0,5
54,0,1
55,0,8
56,0,1
57,0,6
58,0,10
59,0,4
60,0,4
61,0,34
62,0,1
63,0,3
64,0,11
65,0,1
66,0,19
67,0,14
68,0,5
69,0,9
70,0,8
71,0,2
72,0,5
73,0,1
74,1,5
75,0,4
76,0,51
77,0,4
78,0,8
79,0,6
80,2,18
81,0,1
82,0,7
83,0,63
84,0,25
85,0,1
86,0,11
87,0,5
88,0,8
89,1,19
90,0,23
91,0,3
92,0,18
93,0,13
94,0,15
95,0,5
96,0,25
97,0,5
98,0,15
99,0,19
100,0,14
101,0,3
102,0,29
103,0,6
104,0,2
105,0,1
106,0,9
107,0,1
108,0,3
109,0,4
110,0,4
111,1,15
112,0,1
113,1,45
114,0,15
115,0,9
116,0,6
117,0,4
118,0,9
119,0,1
120,0,1
121,0,4
122,1,69
123,1,10
124,0,1
125,1,20
126,0,6
127,0,26
128,0,9
129,0,33
130,0,9
131,0,5
132,1,15
133,1,4
134,0,21
135,0,8
136,0,9
137,0,11
138,0,66
139,0,4
140,0,47
141,0,5
142,0,3
143,0,1
144,0,17
145,0,2
146,0,4
147,0,35
148,0,31
149,1,26
150,0,4
151,0,4
152,0,7
153,1,56
154,0,8
155,0,17
156,0,20
157,0,31
158,0,3
159,0,3
160,0,40
161,0,32
162,0,23
163,0,17
164,1,29
165,0,5
166,0,3
167,0,45
168,0,11
169,0,3
170,0,5
171,0,1
172,0,4
173,0,4
174,0,7
175,0,8
176,0,8
177,1,19
178,0,1
179,0,2
180,0,45
181,0,16
182,0,1
183,0,1
184,0,4
185,0,2
186,1,27
187,0,31
188,1,47
189,0,1
190,0,1
191,0,3
192,0,2
193,0,5
194,0,47
195,0,1
196,0,5
197,1,12
198,0,35
199,0,1
200,0,23
201,0,55
202,0,11
203,0,15
204,0,17
205,0,17
206,1,31
207,0,22
208,0,15
209,0,1
210,1,46
211,0,4
212,0,1
213,0,22
214,1,58
215,0,39
216,1,23
217,0,32
218,0,9
219,1,20
220,0,18
221,0,1
222,0,20
223,0,5
224,0,5
225,0,46
226,0,13
227,0,23
228,1,17
229,1,50
230,0,43
231,2,104
232,0,12
233,0,149
234,0,84
235,0,5
236,0,225
237,0,18
238,0,33
239,3,62
240,0,36
241,1,32
242,0,14
243,0,115
244,1,28
245,0,13
246,0,6
247,0,8
248,1,46
249,0,94
250,0,99
251,0,19
252,0,28
253,2,14
254,0,16
255,1,35
256,0,3
257,2,26
258,0,64
259,0,29
260,0,22
261,0,111
262,0,9
263,0,16
264,0,88
265,0,1
266,1,15
267,0,27
268,0,11
269,0,12
270,0,12
271,3,54
272,1,83
273,0,92
274,0,17
275,0,17
276,0,15
277,0,10
278,0,55
279,0,12
280,2,83
281,2,65
282,0,70
283,1,17
284,5,81
285,0,9
286,1,106
287,2,38
288,4,99
289,2,108
290,0,4
291,1,164
292,2,95
293,2,15
294,0,113
295,0,5
296,0,9
297,2,73
298,1,132
299,2,46
300,1,305
301,0,93
302,1,543
303,2,26
304,2,167
305,5,98
306,6,216
307,0,108
308,2,377
309,0,45
310,2,118
311,0,8
312,0,11
313,0,188
314,0,42
315,0,16
316,0,48
317,0,8
318,0,8
319,0,17
320,1,12
321,0,22
322,0,8
323,0,8
324,1,19
325,0,63
326,0,8
327,0,17
328,0,17
329,0,36
330,0,60
331,0,12
332,1,12
333,0,11
334,0,8
335,0,6
336,0,14
337,0,8
338,0,49
339,1,24
340,0,14
341,0,60
342,0,16
343,0,24
344,0,4
345,0,10
346,0,17
347,0,26
348,0,24
349,0,28
350,1,48
351,0,118
352,0,10
353,0,21
354,0,17
355,0,17
356,0,23
357,0,17
358,0,8
359,0,8
360,0,17
361,0,17
362,0,17
363,0,17
364,0,17
365,0,17
366,0,16
367,0,17
368,0,17
369,0,8
370,0,17
371,0,17
372,1,17
373,0,46
374,0,8
375,0,148
376,0,8
377,1,8
378,0,8
379,0,8
380,0,8
381,0,8
382,0,8
383,0,8
384,0,8
385,0,8
386,0,8
387,1,24
388,1,44
389,3,69
390,0,32
391,0,18
392,0,17
393,0,8
394,0,8
395,0,8
396,0,8
397,0,8
398,0,8
399,0,8
400,0,8
401,0,8
402,0,8
403,1,8
404,0,8
405,0,8
406,0,8
407,0,8
408,0,8
409,0,8
410,0,8
411,0,8
412,0,8
413,0,8
414,0,8
415,0,84
416,0,16
417,0,12
418,0,12
419,0,12
420,0,95
421,0,8
422,0,32
423,0,12
424,0,14
425,0,10
426,0,10
427,0,8
428,0,8
429,1,66
430,0,8
431,1,8
432,0,8
433,0,8
434,0,8
435,1,26
436,2,82
437,0,10
438,0,19
439,0,18
440,0,17
441,0,8
442,0,8
443,0,8
444,0,8
445,0,8
446,0,8
447,0,8
448,0,8
449,0,8
450,0,20
451,0,17
452,0,12
453,0,25
454,1,17
455,0,8
456,0,8
457,1,8
458,0,8
459,0,8
460,0,8
461,0,8
462,0,8
463,0,8
464,0,8
465,0,8
466,0,28
467,0,48
468,0,96
469,0,8
470,0,49
471,0,8
472,0,8
473,0,8
474,0,8
475,0,8
476,0,8
477,0,8
478,1,252
479,0,10
480,1,33
481,0,8
482,0,8
483,0,8
484,0,8
485,0,7
486,0,7
487,1,8
488,0,7
489,0,7
490,0,7
491,0,7
492,0,7
493,0,7
494,0,7
495,0,7
496,0,12
497,0,7
498,2,102
499,0,12
500,0,8
501,0,7
502,0,7
503,0,8
504,0,73
505,1,16
506,0,8
507,0,8
508,1,13
509,1,34
510,0,8
511,3,65
512,0,8
513,0,8
514,0,8
515,0,8
516,2,16
517,1,17
518,1,15
519,0,53
520,0,35
521,2,26
522,0,8
523,1,26
524,0,8
525,1,8
526,0,8
527,0,8
528,0,8
529,0,8
530,0,8
531,0,8
532,2,14
533,1,10
534,0,8
535,1,10
536,0,8
537,1,22
538,0,10
539,0,8
540,2,22
541,0,10
542,0,10
543,0,10
544,0,10
545,0,380
546,4,300
547,0,8
548,2,83
549,1,7
550,2,92
551,0,7
552,0,8
553,0,7
554,0,7
555,0,7
556,2,54
557,1,8
558,0,9
559,0,100
560,0,17
561,1,17
562,0,17
563,0,8
564,0,17
565,0,8
566,0,8
567,0,8
568,0,8
569,0,8
570,0,8
571,0,8
572,0,8
573,0,8
574,0,17
575,0,26
576,0,8
577,2,43
578,0,8
579,0,8
580,0,8
581,0,8
582,0,8
583,0,8
584,0,8
585,0,8
586,0,8
587,0,8
588,0,8
589,0,8
590,0,8
591,0,8
592,0,8
593,1,8
594,0,8
595,0,8
596,1,159
597,0,8
598,0,8
599,0,8
600,0,8
601,0,8
602,0,8
603,0,8
604,0,8
605,3,34
606,0,8
607,0,8
608,0,8
609,0,8
610,0,8
611,0,8
612,0,8
613,0,8
614,0,8
615,0,8
616,1,154
617,1,8
618,0,8
619,1,26
620,0,8
621,0,8
622,0,8
623,0,8
624,1,8
625,0,8
626,0,8
627,0,8
628,0,8
629,0,8
630,0,8
631,1,8
632,0,8
633,0,8
634,0,8
635,0,8
636,0,17
637,0,16
638,0,17
639,0,16
640,2,40
641,0,10
642,0,17
643,0,8
644,0,14
645,0,10
646,0,10
647,0,10
648,1,17
649,0,10
650,0,10
651,0,10
652,0,8
653,0,8
654,1,8
655,0,8
656,0,8
657,0,8
658,0,8
659,0,8
660,0,17
661,0,17
662,0,17
663,0,26
664,0,8
665,0,8
666,0,8
667,0,17
668,0,17
669,0,17
670,1,8
671,1,16
672,1,17
673,0,17
674,0,8
675,0,8
676,0,8
677,0,8
678,0,8
679,1,8
680,0,8
681,0,8
682,0,8
683,0,8
684,0,8
685,0,8
686,0,8
687,0,8
688,0,17
689,0,17
690,0,8
691,0,8
692,0,8
693,1,8
694,0,17
695,0,17
696,0,17
697,0,17
698,0,16
699,1,16
700,1,25
701,0,16
702,0,17
703,0,17
704,0,6
705,1,47
706,0,40
707,0,16
708,0,17
709,0,17
710,1,29
711,2,16
712,0,16
713,1,16
714,0,8
715,0,8
716,0,8
717,0,8
718,0,8
719,0,8
720,0,8
721,0,8
722,1,8
723,0,8
724,0,8
725,0,17
726,1,65
727,1,73
728,0,17
729,2,48
730,0,8
731,0,8
732,0,8
733,1,8
734,0,8
735,0,8
736,2,31
737,1,15
738,2,16
739,1,18
740,0,8
741,0,8
742,0,8
743,0,8
744,0,8
745,0,8
746,0,8
747,0,8
748,0,8
749,0,8
750,0,8
751,0,17
752,0,17
753,0,8
754,0,17
755,0,17
756,1,17
757,0,17
758,0,17
759,0,17
760,0,17
761,0,17
762,0,16
763,0,17
764,0,17
765,0,17
766,0,8
767,0,16
768,0,16
769,0,16
770,0,16
771,0,16
772,1,20
773,0,16
774,0,10
775,3,106
776,3,45
777,3,54
778,0,8
779,0,8
780,0,8
781,0,8
782,0,8
783,0,8
784,0,8
785,0,8
786,0,11
787,0,16
788,1,16
789,2,16
790,0,35
791,0,8
792,0,35
793,1,35
794,0,35
795,0,35
796,0,26
797,1,35
798,0,35
799,0,8
800,0,8
801,0,8
802,1,8
803,0,8
804,0,8
805,0,17
806,1,17
807,0,17
808,1,17
809,0,33
810,1,17
811,0,24
812,0,16
813,0,17
814,0,17
815,1,44
816,1,18
817,2,128
818,0,34
819,0,8
820,0,8
821,0,8
822,1,27
823,0,32
